Customer_ID,subscription_type,start_date,years_active,no_of_other_postpaid_accounts,frequent_availed_top_up_amount_30days,postpaid_plan_30days,monthly_revenue,no_of_top_ups_30days,last_date_top_up,days_since_last_two_top_ups,cellsite,no_of_days_subscribed_to_Call_Text_30days,no_of_days_subscribed_to_GoSurf_30days,no_of_days_subscribed_to_GoWatch_30days,no_of_days_subscribed_to_OtherApps_30days,total_hours_internet_usage_30days,total_hours_OtherApps_usage_30days,no_of_failed_Call_Text_30days,no_of_failed_Surfing_30days,no_of_failed_143hotline_30days,no_of_call_records_Complaint_30days,mins_of_call_records_Complaint_30days,no_of_logged_GlobeOne_30days,Survey_Score
0917-9029080562,prepaid,06/01/2013,6.1,0,300,0,400,2,05/02/2019,37,CN-8,10,11,15,12,13,171,2,15,12,4,3,18,0
0917-7662111048,prepaid,12/05/2015,3.56,0,20,0,165,3,04/01/2019,68,CN-12,5,0,6,0,199,75,27,18,14,7,17,12,0
0917-2964862359,prepaid,5/23/2015,4.1,0,50,0,53,1,5/22/2019,17,CN-16,0,0,1,0,103,211,9,4,17,3,22,17,0
0917-8394411267,prepaid,11/09/2009,9.72,0,300,0,360,2,5/15/2019,24,CN-24,28,21,21,16,84,227,11,3,7,8,28,12,9
0917-8724856189,prepaid,06/07/2014,5.07,0,100,0,400,4,4/26/2019,43,CN-13,15,25,7,0,282,250,10,17,11,8,19,6,3
0917-3191954064,postpaid,08/01/2014,4.92,0,78,999,1077,1,06/01/2019,7,CN-9,30,30,13,28,293,68,20,20,7,6,27,27,0
0917-5682498661,prepaid,08/04/2013,5.93,0,100,0,200,3,04/05/2019,64,CN-12,1,6,3,0,211,214,1,27,22,1,25,23,0
0917-2608582109,prepaid,1/24/2009,10.52,0,100,0,400,5,04/12/2019,57,CN-9,24,27,27,10,232,286,25,22,29,6,25,5,3
0917-8065981727,postpaid,09/12/2017,1.76,0,200,599,799,1,5/28/2019,11,CN-16,30,30,19,9,223,22,28,9,20,4,3,19,8
0917-6869513408,postpaid,11/23/2010,8.66,1,501,599,1100,1,5/22/2019,17,CN-6,30,30,14,14,253,184,12,24,30,3,28,28,3
0917-8573539903,prepaid,9/24/2013,5.79,0,100,0,500,6,4/24/2019,45,CN-25,21,27,8,19,83,250,25,10,17,8,3,30,7
0917-9248762855,prepaid,8/22/2014,4.86,0,20,0,167,8,04/05/2019,64,CN-5,1,5,1,0,257,41,21,7,2,2,16,13,8
0917-2288707659,prepaid,7/14/2013,5.99,0,30,0,154,4,04/09/2019,60,CN-3,1,4,7,0,54,84,23,20,1,7,10,20,0
0917-3434203305,prepaid,5/22/2010,9.18,0,500,0,641,2,04/04/2019,65,CN-24,7,30,24,0,275,164,3,20,27,2,11,1,7
0917-9419769765,prepaid,3/13/2019,0.24,0,500,0,736,2,5/23/2019,16,CN-8,11,19,25,10,191,167,28,25,7,1,20,15,10
0917-8571127004,prepaid,4/26/2014,5.19,0,100,0,600,5,5/30/2019,9,CN-4,29,30,18,9,42,282,5,5,17,9,3,30,8
0917-8472557305,prepaid,1/29/2017,2.39,0,50,0,120,2,04/04/2019,65,CN-5,0,1,0,0,38,70,6,17,22,7,5,13,8
0917-1132549038,prepaid,5/28/2011,8.15,0,300,0,400,2,04/02/2019,67,CN-16,18,18,29,24,75,126,16,15,10,5,8,29,5
0917-7331896206,postpaid,08/12/2009,9.96,0,500,799,1299,1,5/25/2019,14,CN-15,30,30,8,11,51,72,7,9,11,8,23,14,0
0917-2007568711,prepaid,03/05/2011,8.38,0,300,0,400,2,5/27/2019,12,CN-9,12,30,16,23,260,103,24,11,5,6,9,5,0
0917-4879254584,prepaid,04/06/2019,0.17,0,300,0,400,2,4/23/2019,46,CN-1,24,18,28,23,133,297,7,21,11,1,27,27,0
0917-4922377810,postpaid,11/07/2015,3.64,1,700,599,1299,1,06/01/2019,7,CN-25,30,30,15,13,106,191,28,13,23,9,19,4,9
0917-4583154643,postpaid,01/10/2014,5.49,2,117,999,1116,1,5/18/2019,21,CN-9,30,30,13,4,286,84,26,2,2,10,4,3,0
0917-3692501151,postpaid,8/14/2014,4.89,4,700,599,1299,1,5/18/2019,21,CN-23,30,30,30,10,74,232,15,27,8,4,8,10,0
0917-8992785090,prepaid,5/18/2018,1.07,0,300,0,400,2,4/20/2019,49,CN-12,25,26,16,11,208,299,10,15,23,4,12,24,0
0917-2445421520,prepaid,5/13/2011,8.19,0,100,0,400,2,06/04/2019,4,CN-15,10,9,25,14,70,43,25,28,3,4,9,5,0
0917-8794777757,postpaid,2/17/2014,5.38,1,162,1299,1461,1,06/04/2019,4,CN-24,30,30,16,15,170,84,18,15,18,6,20,27,0
0917-1713721369,postpaid,4/18/2011,8.26,0,284,1499,1783,1,5/25/2019,14,CN-3,30,30,26,17,42,54,5,23,20,1,22,18,3
0917-2126389076,postpaid,9/13/2017,1.76,2,0,799,799,1,06/02/2019,6,CN-18,30,30,5,23,67,201,25,27,15,5,17,21,9
0917-5521880635,postpaid,5/31/2010,9.15,0,282,799,1081,1,06/03/2019,5,CN-16,30,30,10,9,215,161,11,16,2,6,15,8,0
0917-5916724357,prepaid,8/27/2016,2.82,0,100,0,500,4,04/08/2019,61,CN-7,28,26,22,4,185,108,17,15,22,10,26,9,10
0917-2102367216,prepaid,9/24/2016,2.74,0,50,0,158,1,5/26/2019,13,CN-16,2,4,3,0,191,100,1,22,23,7,5,28,0
0917-9072710022,prepaid,2/27/2016,3.32,0,50,0,70,1,5/30/2019,9,CN-20,2,1,3,0,150,131,12,5,24,10,23,22,0
0917-5648190131,prepaid,3/18/2018,1.24,0,20,0,173,7,4/14/2019,55,CN-19,7,0,5,0,154,217,25,16,18,2,29,12,0
0917-1235200026,prepaid,11/11/2011,7.68,0,300,0,400,2,04/05/2019,64,CN-20,30,23,27,27,251,229,15,28,18,2,20,18,9
0917-1033082752,prepaid,7/17/2010,9.02,0,100,0,400,2,4/29/2019,40,CN-13,11,25,18,15,16,191,7,16,23,10,9,9,0
0917-9719135608,prepaid,12/26/2016,2.48,0,100,0,100,2,04/11/2019,58,CN-23,0,1,0,0,31,215,16,16,17,7,3,4,0
0917-4183111947,prepaid,12/28/2016,2.48,0,100,0,500,3,04/09/2019,60,CN-5,23,21,25,11,24,236,24,22,4,3,28,22,0
0917-4779273456,postpaid,10/25/2013,5.7,0,57,799,856,1,06/03/2019,5,CN-15,30,30,16,6,176,172,28,8,15,5,20,30,0
0917-2282848024,prepaid,09/10/2012,6.84,0,100,0,400,4,5/22/2019,17,CN-7,21,22,15,25,150,11,9,10,29,7,16,16,7
0917-4998906488,prepaid,10/06/2011,7.78,0,15,0,159,8,4/23/2019,46,CN-25,3,4,0,0,131,127,11,30,8,5,7,11,3
0917-9712429231,prepaid,09/12/2018,0.75,0,100,0,400,4,04/02/2019,67,CN-1,20,10,26,10,188,83,8,4,18,10,4,15,0
0917-1845412110,prepaid,6/23/2017,1.99,0,300,0,400,2,05/10/2019,29,CN-25,25,16,30,24,173,155,26,9,9,6,23,27,0
0917-7171337618,prepaid,6/20/2011,8.08,0,15,0,111,5,04/03/2019,66,CN-17,4,1,5,0,278,103,9,14,10,10,9,10,3
0917-3712885170,prepaid,8/28/2017,1.8,0,100,0,400,4,4/22/2019,47,CN-12,28,26,22,24,156,80,23,6,3,9,8,26,0
0917-1907806785,prepaid,08/07/2018,0.85,0,300,0,300,2,04/03/2019,66,CN-4,9,9,17,24,227,174,26,29,17,2,12,2,0
0917-1255238787,postpaid,04/03/2009,10.33,1,0,599,599,1,5/17/2019,22,CN-3,30,30,4,18,117,66,7,22,1,10,17,2,9
0917-5768251811,postpaid,02/08/2019,0.33,3,149,999,1148,1,5/22/2019,17,CN-1,30,30,11,24,148,6,15,25,24,5,25,4,0
0917-7208436906,prepaid,4/25/2012,7.22,0,20,0,112,1,4/28/2019,41,CN-15,5,0,2,0,167,179,21,12,25,9,13,4,0
0917-4192233881,postpaid,3/14/2015,4.3,1,106,1299,1405,1,5/18/2019,21,CN-12,30,30,14,22,124,75,25,26,28,10,10,7,0
0917-8618251512,postpaid,03/10/2010,9.38,0,200,1299,1499,1,06/05/2019,3,CN-11,30,30,8,3,86,86,17,2,1,8,10,14,0
0917-1569295625,postpaid,5/27/2009,10.18,0,9,1799,1808,1,5/15/2019,24,CN-1,30,30,15,20,22,138,11,11,25,5,5,16,0
0917-9911244981,prepaid,06/06/2015,4.06,0,100,0,300,2,4/15/2019,54,CN-25,11,14,28,24,166,234,26,18,25,9,6,6,7
0917-5839373688,postpaid,08/05/2010,8.97,0,150,599,749,1,06/03/2019,5,CN-18,30,30,29,21,280,55,13,10,26,9,30,29,0
0917-5078791667,prepaid,6/28/2016,2.99,0,300,0,300,2,5/14/2019,25,CN-5,21,7,22,0,251,70,14,29,11,10,26,28,10
0917-2304897136,prepaid,03/07/2011,8.37,0,15,0,54,2,5/20/2019,19,CN-4,2,2,1,0,143,267,7,23,30,8,3,18,0
0917-2645596963,prepaid,6/13/2018,1,0,100,0,400,5,5/17/2019,22,CN-5,14,20,27,28,126,24,30,23,23,2,5,27,0
0917-5292590876,postpaid,1/31/2019,0.35,2,101,599,700,1,5/25/2019,14,CN-13,30,30,4,3,274,115,12,21,12,3,12,5,7
0917-6829689074,postpaid,11/15/2010,8.69,0,208,999,1207,1,06/02/2019,6,CN-18,30,30,15,23,131,20,15,25,2,4,25,10,9
0917-4675778001,prepaid,8/20/2010,8.93,0,100,0,600,3,5/19/2019,20,CN-21,24,8,11,14,278,186,29,1,10,2,14,15,3
0917-6937740960,prepaid,05/10/2016,3.12,0,100,0,300,3,4/16/2019,53,CN-18,16,13,16,12,197,41,23,25,9,10,28,9,0
0917-6634349568,prepaid,12/10/2015,3.54,0,100,0,500,5,5/31/2019,8,CN-10,12,16,21,10,169,85,10,10,6,8,5,22,0
0917-2354366368,prepaid,4/28/2017,2.14,0,100,0,400,5,5/28/2019,11,CN-22,30,13,12,14,5,167,9,22,10,8,11,4,0
0917-4774968788,prepaid,5/25/2017,2.07,0,50,0,135,1,05/06/2019,33,CN-4,1,4,4,0,51,59,19,21,25,10,7,15,0
0917-2607022360,postpaid,9/30/2012,6.78,1,0,599,599,1,5/18/2019,21,CN-16,30,30,10,12,2,272,25,1,25,6,11,29,0
0917-5848813683,prepaid,6/23/2010,9.09,0,100,0,400,4,4/23/2019,46,CN-6,7,26,22,0,213,128,29,25,25,3,12,16,9
0917-1555449653,prepaid,07/01/2009,10.08,0,50,0,99,1,5/20/2019,19,CN-19,7,0,2,0,15,1,25,27,21,8,13,18,0
0917-7343993593,postpaid,11/09/2014,4.64,0,101,999,1100,1,5/25/2019,14,CN-6,30,30,15,8,1,127,27,20,20,2,9,10,0
0917-5483516293,postpaid,1/29/2015,4.42,0,16,999,1015,1,5/18/2019,21,CN-4,30,30,25,14,235,187,18,7,16,7,12,10,9
0917-5586517601,postpaid,06/08/2018,1.01,0,242,999,1241,1,5/25/2019,14,CN-17,30,30,25,11,142,160,15,19,5,5,4,11,9
0917-5129884925,postpaid,5/20/2012,7.15,0,200,599,799,1,5/18/2019,21,CN-22,30,30,8,11,273,227,9,26,6,10,24,14,10
0917-4185679472,prepaid,4/16/2013,6.23,0,50,0,62,1,05/08/2019,31,CN-16,5,2,2,0,199,269,15,26,3,7,23,18,8
0917-2178181365,postpaid,05/05/2010,9.22,0,0,799,799,1,5/16/2019,23,CN-23,30,30,24,28,234,145,28,8,17,1,25,1,0
0917-2208680904,prepaid,05/05/2011,8.21,0,100,0,400,2,04/08/2019,61,CN-9,24,25,24,5,88,2,8,12,23,4,29,18,0
0917-6993338992,prepaid,05/08/2010,9.22,0,50,0,156,1,05/08/2019,31,CN-21,5,6,2,0,280,76,17,16,17,8,28,8,0
0917-5433323341,prepaid,02/12/2012,7.42,0,100,0,100,2,05/07/2019,32,CN-17,6,2,2,0,286,161,19,30,27,8,3,12,3
0917-1771547806,prepaid,11/01/2018,0.61,0,50,0,142,1,04/03/2019,66,CN-15,3,5,4,0,28,154,5,15,24,5,20,8,0
0917-4307726835,prepaid,9/15/2015,3.78,0,100,0,400,3,04/06/2019,63,CN-14,26,8,21,23,154,6,19,15,5,7,19,28,9
0917-8107603549,postpaid,04/09/2018,1.18,0,101,799,900,1,06/01/2019,7,CN-23,30,30,5,23,72,32,15,5,8,3,10,21,10
0917-2433749605,prepaid,08/09/2015,3.89,0,300,0,400,2,4/24/2019,45,CN-18,30,11,16,30,144,201,16,21,13,8,2,30,3
0917-9335969244,prepaid,3/18/2019,0.23,0,50,0,148,2,5/16/2019,23,CN-11,0,1,5,0,205,246,1,16,16,8,13,24,9
0917-3584987212,prepaid,7/27/2017,1.89,0,20,0,162,7,5/29/2019,10,CN-15,3,2,1,0,253,33,8,14,17,5,22,22,9
0917-3153931909,postpaid,3/31/2009,10.34,3,178,1499,1677,1,5/25/2019,14,CN-12,30,30,19,25,131,215,21,4,16,5,14,7,0
0917-8336250176,postpaid,12/24/2013,5.53,1,266,999,1265,1,5/29/2019,10,CN-22,30,30,4,23,216,145,8,18,27,6,18,3,0
0917-4461857945,postpaid,02/04/2011,8.46,0,277,799,1076,1,5/25/2019,14,CN-24,30,30,11,14,233,129,1,5,23,1,6,29,7
0917-3232888866,prepaid,07/03/2017,1.96,0,15,0,78,1,5/29/2019,10,CN-8,5,2,0,0,244,132,25,25,23,5,29,17,0
0917-6836568176,prepaid,5/14/2015,4.13,0,500,0,541,2,4/15/2019,54,CN-25,8,16,11,17,66,91,10,20,19,4,14,27,0
0917-7008612216,postpaid,5/30/2009,10.17,0,260,799,1059,1,5/25/2019,14,CN-12,30,30,5,22,171,119,21,22,1,2,17,20,7
0917-5021753861,prepaid,06/09/2017,2.02,0,15,0,158,8,06/02/2019,6,CN-14,0,2,5,0,139,62,9,8,18,4,6,6,0
0917-1593535400,prepaid,9/13/2014,4.8,0,300,0,595,2,4/22/2019,47,CN-19,19,19,26,21,160,117,3,19,16,7,14,27,0
0917-4387254339,prepaid,6/14/2009,10.13,0,100,0,400,4,4/18/2019,51,CN-20,25,19,21,25,236,27,6,18,4,5,29,26,0
0917-6658366388,prepaid,9/24/2017,1.73,0,300,0,300,2,4/29/2019,40,CN-14,8,28,13,21,234,26,9,28,10,3,17,19,0
0917-1278991327,prepaid,12/02/2017,1.54,0,50,0,199,2,5/24/2019,15,CN-16,0,1,4,0,100,232,3,22,28,5,8,26,0
0917-7163658224,prepaid,04/03/2014,5.25,0,20,0,68,2,5/20/2019,19,CN-4,0,0,3,0,228,110,22,23,1,9,14,8,0
0917-6667357273,postpaid,4/25/2015,4.18,1,208,1799,2007,1,06/03/2019,5,CN-22,30,30,14,7,287,250,28,27,30,2,25,30,0
0917-7775531471,postpaid,8/15/2010,8.94,0,200,599,799,1,5/18/2019,21,CN-16,30,30,28,15,64,71,11,18,17,1,30,22,7
0917-8655933175,prepaid,9/14/2018,0.74,0,100,0,300,4,06/02/2019,6,CN-24,18,27,20,15,84,186,19,9,30,4,23,1,0
0917-6268012030,prepaid,9/16/2011,7.84,0,100,0,300,4,05/08/2019,31,CN-9,19,15,29,20,154,277,20,27,12,2,2,28,9
0917-7198215984,prepaid,8/26/2016,2.82,0,500,0,753,2,4/24/2019,45,CN-23,19,18,20,18,256,93,9,16,3,4,4,6,0
0917-1966784915,prepaid,12/25/2015,3.5,0,100,0,200,3,5/17/2019,22,CN-24,6,5,0,0,50,115,2,30,13,7,9,16,8
0917-2418279753,postpaid,6/22/2017,1.99,0,301,599,900,1,5/25/2019,14,CN-6,30,30,18,3,124,234,24,23,29,5,30,26,9
0917-1132994146,prepaid,12/16/2017,1.5,0,100,0,300,4,4/24/2019,45,CN-12,21,26,16,17,168,144,30,15,17,4,1,3,0
0917-8428805990,postpaid,11/05/2016,2.62,1,0,599,599,1,5/25/2019,14,CN-2,30,30,9,27,183,27,23,17,4,10,28,6,0
0917-8492430499,postpaid,09/07/2017,1.77,1,200,599,799,1,5/16/2019,23,CN-4,30,30,26,13,183,164,11,9,28,10,9,28,0
0917-3118431743,postpaid,02/04/2017,2.37,1,700,799,1499,1,5/30/2019,9,CN-4,30,30,10,3,288,125,20,1,25,8,16,7,0
0917-2019767976,prepaid,7/14/2014,4.97,0,100,0,500,3,04/11/2019,58,CN-2,15,25,18,15,196,159,1,29,20,3,6,16,9
0917-9815685650,prepaid,8/31/2016,2.81,0,500,0,521,2,4/30/2019,39,CN-24,11,20,12,16,165,23,27,30,9,10,30,8,9
0917-6876050591,prepaid,01/09/2009,10.56,0,20,0,186,2,04/04/2019,65,CN-15,2,1,1,0,230,3,27,29,17,3,26,30,0
0917-6003228109,prepaid,03/07/2012,7.36,0,30,0,162,5,05/10/2019,29,CN-8,4,4,5,0,83,44,16,3,7,2,21,17,0
0917-2248615321,prepaid,6/27/2011,8.06,0,100,0,400,5,04/08/2019,61,CN-13,21,28,14,30,83,18,30,19,12,7,3,25,0
0917-9852877700,prepaid,02/05/2019,0.34,0,500,0,709,2,4/28/2019,41,CN-8,17,20,21,20,106,187,6,17,14,10,15,5,0
0917-6241253178,prepaid,8/21/2011,7.91,0,100,0,100,2,4/21/2019,48,CN-21,7,1,3,0,128,249,21,11,15,2,17,26,9
0917-6208676841,prepaid,11/08/2017,1.6,0,50,0,144,1,4/20/2019,49,CN-3,4,7,2,0,273,144,1,16,26,10,6,14,0
0917-5002620554,postpaid,05/04/2013,6.18,0,37,1299,1336,1,06/05/2019,3,CN-24,30,30,24,19,51,156,10,4,17,6,1,4,0
0917-9159123980,prepaid,8/31/2014,4.84,0,50,0,97,1,5/31/2019,8,CN-16,5,2,3,0,273,153,26,22,21,2,25,30,0
0917-2758023728,prepaid,1/15/2011,8.52,0,100,0,400,5,4/23/2019,46,CN-7,28,17,20,19,130,241,27,25,15,5,8,22,0
0917-7218083667,prepaid,4/27/2013,6.2,0,50,0,160,1,05/08/2019,31,CN-14,5,2,6,0,79,280,24,20,29,7,5,12,0
0917-6332022072,prepaid,12/12/2016,2.52,0,100,0,500,3,5/16/2019,23,CN-1,25,29,17,7,237,260,11,12,24,8,2,16,0
0917-7172750143,prepaid,9/26/2012,6.79,0,100,0,400,3,5/25/2019,14,CN-21,22,18,25,17,199,62,8,25,22,4,9,2,0
0917-3754332376,prepaid,11/26/2015,3.58,0,100,0,400,4,5/30/2019,9,CN-24,7,19,24,0,275,28,15,4,12,3,20,15,0
0917-6145345514,prepaid,4/18/2013,6.23,0,100,0,400,4,4/26/2019,43,CN-18,27,18,28,27,266,111,21,11,20,9,17,19,7
0917-6382505394,prepaid,8/16/2017,1.84,0,100,0,400,5,5/31/2019,8,CN-15,10,22,26,24,75,24,19,15,28,3,30,1,0
0917-2483908648,postpaid,12/20/2009,9.6,0,500,799,1299,1,5/18/2019,21,CN-15,30,30,20,14,208,79,25,7,24,7,14,17,3
0917-3832177808,prepaid,6/23/2016,3,0,100,0,400,3,04/10/2019,59,CN-16,18,14,21,29,59,152,8,23,21,1,11,15,0
0917-8766387868,postpaid,7/25/2013,5.95,0,0,599,599,1,5/25/2019,14,CN-18,30,30,19,18,120,241,14,13,22,8,23,11,0
0917-6473592656,prepaid,4/28/2010,9.24,0,100,0,500,2,4/28/2019,41,CN-25,15,18,19,13,255,283,27,6,25,3,16,10,0
0917-8535514173,postpaid,12/08/2018,0.5,1,101,599,700,1,5/22/2019,17,CN-13,30,30,9,1,41,264,9,13,28,9,2,29,0
0917-7703049185,postpaid,07/02/2013,6.02,0,301,599,900,1,06/01/2019,7,CN-14,30,30,4,17,98,154,16,16,26,7,11,29,9
0917-8239439214,prepaid,9/16/2017,1.75,0,100,0,500,3,5/20/2019,19,CN-17,9,30,29,16,28,238,2,6,16,5,12,4,0
0917-7418390560,prepaid,5/14/2015,4.13,0,50,0,136,2,4/14/2019,55,CN-11,0,6,2,0,133,16,7,3,3,6,18,29,0
0917-2582717648,prepaid,4/18/2009,10.29,0,500,0,500,2,4/24/2019,45,CN-19,7,12,8,0,158,210,18,6,17,9,26,15,0
0917-9664777115,postpaid,7/14/2013,5.99,0,0,599,599,1,5/18/2019,21,CN-6,30,30,4,26,277,298,28,11,15,10,6,18,0
0917-5123475041,postpaid,07/10/2016,2.95,0,128,999,1127,1,5/25/2019,14,CN-12,30,30,30,30,150,262,14,7,19,3,11,14,10
0917-9545158878,prepaid,11/13/2010,8.69,0,100,0,500,6,04/03/2019,66,CN-4,30,13,19,18,51,221,24,15,29,1,6,16,9
0917-4453159221,prepaid,2/13/2010,9.45,0,100,0,500,2,4/26/2019,43,CN-13,12,22,15,20,151,87,21,6,28,7,4,19,0
0917-7592765992,prepaid,04/09/2016,3.21,0,100,0,900,3,4/20/2019,49,CN-21,29,12,13,22,174,243,21,12,9,9,6,22,0
0917-5766205614,prepaid,3/16/2014,5.3,0,100,0,300,2,04/08/2019,61,CN-24,21,25,20,26,201,229,17,24,5,7,13,6,8
0917-1706220763,prepaid,03/09/2017,2.28,0,100,0,400,5,04/09/2019,60,CN-22,17,28,9,16,243,158,9,23,17,9,30,25,0
0917-1994290078,prepaid,01/11/2018,1.42,0,15,0,57,3,4/27/2019,42,CN-1,3,1,1,0,35,98,19,25,25,6,25,21,0
0917-8503403521,prepaid,7/27/2011,7.98,0,100,0,100,2,05/04/2019,35,CN-14,2,2,0,0,153,77,10,1,27,3,30,16,9
0917-8327602886,postpaid,6/23/2009,10.1,0,200,599,799,1,06/03/2019,5,CN-18,30,30,28,27,135,13,15,26,13,7,28,24,0
0917-9767984739,prepaid,06/11/2013,6.08,0,50,0,123,2,05/11/2019,28,CN-9,7,6,3,0,36,193,26,1,14,7,5,27,0
0917-2775281896,prepaid,02/12/2016,3.37,0,100,0,800,8,04/05/2019,64,CN-23,22,29,21,13,130,27,28,10,29,5,30,10,7
0917-7415077005,prepaid,10/05/2017,1.7,0,100,0,400,3,4/19/2019,50,CN-7,13,17,27,13,222,292,27,29,22,3,18,11,10
0917-9632781453,postpaid,1/25/2013,6.46,2,301,799,1100,1,06/01/2019,7,CN-21,30,30,11,17,287,156,10,15,2,7,25,8,0
0917-1417251939,prepaid,11/18/2009,9.69,0,100,0,300,2,5/19/2019,20,CN-21,13,13,28,17,132,106,14,5,22,10,2,2,0
0917-2608914635,prepaid,8/30/2012,6.87,0,50,0,167,1,04/10/2019,59,CN-23,7,1,7,0,270,136,5,18,6,6,15,8,0
0917-9614186221,postpaid,8/14/2011,7.93,1,301,799,1100,1,5/25/2019,14,CN-13,30,30,11,28,120,261,18,11,30,5,3,1,9
0917-9739635503,prepaid,2/17/2016,3.35,0,50,0,72,1,05/10/2019,29,CN-5,7,2,3,0,63,41,22,26,10,9,27,25,0
0917-5081687664,prepaid,01/10/2012,7.52,0,30,0,165,1,05/07/2019,32,CN-1,7,5,2,0,68,40,6,7,3,10,7,2,0
0917-2212660740,prepaid,8/16/2016,2.85,0,100,0,400,5,5/30/2019,9,CN-22,8,25,8,12,146,157,15,29,7,3,15,25,9
0917-8314787177,prepaid,8/17/2018,0.82,0,100,0,300,3,05/01/2019,38,CN-5,12,10,13,15,226,275,25,27,16,10,16,15,10
0917-5646490762,prepaid,02/09/2010,9.46,0,100,0,500,5,05/03/2019,36,CN-22,28,23,28,30,215,246,13,14,24,5,30,19,5
0917-9199362802,prepaid,11/04/2011,7.7,0,50,0,138,1,05/01/2019,38,CN-1,3,1,4,0,82,198,9,11,9,4,9,23,0
0917-1243231562,prepaid,07/05/2010,9.05,0,100,0,300,3,4/26/2019,43,CN-17,26,22,10,10,149,109,17,7,30,7,18,14,0
0917-1946491928,prepaid,12/07/2011,7.61,0,500,0,500,2,04/07/2019,62,CN-17,19,30,26,29,240,199,9,11,15,7,2,9,0
0917-5189888197,postpaid,01/12/2018,1.42,0,102,999,1101,1,5/18/2019,21,CN-14,30,30,29,19,272,12,5,2,26,9,20,23,0
0917-2902445400,postpaid,10/20/2011,7.74,0,0,799,799,1,06/03/2019,5,CN-15,30,30,15,15,248,130,21,3,27,9,27,23,0
0917-9647478606,prepaid,11/21/2017,1.57,0,100,0,100,2,4/22/2019,47,CN-14,0,2,3,0,96,147,25,4,5,10,12,29,10
0917-6635063407,prepaid,07/11/2018,0.92,0,300,0,400,2,5/24/2019,15,CN-20,29,27,17,30,213,19,4,5,7,5,27,1,9
0917-4844648193,prepaid,01/05/2012,7.53,0,100,0,400,2,04/01/2019,68,CN-19,11,18,18,16,267,197,9,20,20,3,22,14,0
0917-4238690454,prepaid,4/15/2009,10.29,0,300,0,420,2,4/18/2019,51,CN-6,14,14,26,18,95,155,5,12,24,7,8,9,0
0917-7591224470,postpaid,9/17/2009,9.86,2,162,1499,1661,1,5/29/2019,10,CN-1,30,30,3,25,237,175,28,26,4,3,28,15,0
0917-3174499746,prepaid,4/28/2016,3.15,0,100,0,100,2,05/12/2019,27,CN-7,2,2,1,0,133,71,5,30,1,3,26,14,7
0917-4935402115,prepaid,10/27/2010,8.74,0,100,0,100,2,5/30/2019,9,CN-1,1,0,0,0,135,188,24,5,11,1,11,28,7
0917-2013292329,prepaid,3/20/2013,6.31,0,100,0,500,3,5/24/2019,15,CN-18,25,29,8,8,23,198,24,17,9,9,4,11,3
0917-1666225312,prepaid,04/07/2015,4.23,0,100,0,200,2,4/28/2019,41,CN-6,6,3,1,0,188,266,24,10,29,3,25,1,7
0917-7186744696,prepaid,4/26/2019,0.12,0,100,0,400,2,4/29/2019,40,CN-2,7,14,22,0,234,211,8,25,5,8,11,5,0
0917-6341253408,prepaid,08/04/2014,4.91,0,50,0,159,3,04/05/2019,64,CN-2,5,3,3,0,145,107,8,3,13,2,20,24,7
0917-6026846500,postpaid,07/12/2010,9.04,0,0,999,999,1,5/14/2019,25,CN-8,30,30,12,10,280,255,7,25,22,5,26,30,0
0917-7175204367,prepaid,9/21/2018,0.72,0,300,0,300,2,4/15/2019,54,CN-18,17,10,25,30,263,166,4,10,19,2,30,25,7
0917-1479090533,prepaid,06/02/2010,9.15,0,100,0,100,2,4/22/2019,47,CN-21,3,3,2,0,121,233,1,10,9,9,12,16,3
0917-3268176379,postpaid,4/28/2013,6.2,0,164,999,1163,1,5/15/2019,24,CN-4,30,30,28,29,292,250,22,13,24,4,8,13,0
0917-1331529438,prepaid,08/12/2016,2.86,0,100,0,1000,10,04/05/2019,64,CN-17,21,17,18,20,40,238,28,19,15,8,20,7,0
0917-8727427830,prepaid,5/16/2019,0.06,0,100,0,500,3,5/20/2019,19,CN-21,26,13,19,23,267,202,22,3,2,1,14,5,0
0917-8336566666,prepaid,12/09/2009,9.63,0,15,0,151,9,04/09/2019,60,CN-18,3,1,1,0,176,289,22,12,4,1,27,21,0
0917-8218817658,prepaid,6/27/2011,8.06,0,100,0,100,2,4/13/2019,56,CN-17,3,0,1,0,169,246,30,13,28,10,12,25,0
0917-6984387916,postpaid,07/04/2009,10.07,0,0,599,599,1,5/18/2019,21,CN-11,30,30,29,23,31,278,7,23,28,3,3,2,5
0917-8345803658,prepaid,06/03/2013,6.1,0,100,0,100,2,04/03/2019,66,CN-13,2,3,1,0,151,286,30,4,22,3,9,5,0
0917-3296856966,prepaid,02/11/2010,9.45,0,100,0,300,3,05/10/2019,29,CN-2,26,30,15,19,97,207,8,22,15,5,21,26,0
0917-2496128323,prepaid,05/06/2011,8.21,0,100,0,500,4,06/04/2019,4,CN-20,25,22,27,16,100,18,23,20,2,6,27,21,0
0917-7494062912,prepaid,03/05/2013,6.35,0,100,0,1000,3,06/01/2019,7,CN-17,24,29,22,22,47,137,2,9,26,7,1,22,9
0917-9248243099,prepaid,12/22/2013,5.54,0,15,0,58,3,5/22/2019,17,CN-4,0,2,2,0,35,135,8,5,2,9,14,25,0
0917-5386779781,prepaid,8/16/2012,6.91,0,30,0,53,1,4/13/2019,56,CN-20,6,2,2,0,23,233,24,27,7,10,17,2,10
